Player,Pos,ADP,Z,Tier,HR,RBI,R,SB,AVG,ERA,WHIP,K,W,SV
Shohei Ohtani,DH/SP,1,14.94,1,44,99,120,18,0.275,-,-,160,-,-
Bobby Witt Jr.,SS,3,13.67,1,28,89,99,24,0.293,-,-,106,-,-
Aaron Judge,OF,2,12.59,1,42,102,109,6,0.283,-,-,156,-,-
Ronald Acuna Jr.,OF,7,11.8,1,31,84,109,16,0.286,-,-,135,-,-
Juan Soto,OF,4,11.54,1,34,89,105,15,0.273,-,-,110,-,-
Jose Ramirez,3B,5,11.22,1,27,88,83,24,0.275,-,-,72,-,-
Vladimir Guerrero Jr.,1B,18,11.17,1,32,99,94,3,0.297,-,-,87,-,-
Gunnar Henderson,SS/3B,16,10.16,1,28,84,101,18,0.275,-,-,135,-,-
Corbin Carroll,OF,15,9.64,1,26,85,90,25,0.261,-,-,125,-,-
Yordan Alvarez,OF,32,9.24,1,30,84,90,3,0.299,-,-,94,-,-
Julio Rodriguez,OF,10,9.23,1,30,91,85,17,0.275,-,-,134,-,-
Josh Hader,RP,101,8.91,1,0,0,0,0,-,2.65,1.03,92,4,32
Fernando Tatis Jr.,OF,14,8.88,1,29,83,86,16,0.275,-,-,112,-,-
Elly De La Cruz,SS,8,8.6,2,23,82,83,28,0.263,-,-,137,-,-
Jarren Duran,OF,63,8.6,2,15,73,95,26,0.294,-,-,132,-,-
Jackson Chourio,OF,22,8.55,2,22,82,88,21,0.288,-,-,125,-,-
Bryce Harper,1B,38,8.51,2,31,91,93,7,0.286,-,-,140,-,-
Jose Altuve,2B,97,8.47,2,22,78,102,8,0.297,-,-,95,-,-
Edwin Diaz,RP,45,8.19,1,0,0,0,0,-,2.55,0.95,82,4,30
Freddie Freeman,1B,51,8.11,2,24,87,94,8,0.295,-,-,119,-,-
Kyle Tucker,OF,12,7.84,2,27,78,90,14,0.269,-,-,85,-,-
Rafael Devers,1B,40,7.83,2,32,96,91,3,0.276,-,-,136,-,-
Wyatt Langford,OF,47,7.77,2,26,88,90,13,0.285,-,-,140,-,-
Marcell Ozuna,DH,UD,7.69,2,38,108,88,1,0.27,-,-,165,-,-
Jhoan Duran,RP,UD,7.65,1,0,0,0,0,-,2.72,1.0,88,4,28
Devin Williams,RP,91,7.54,1,0,0,0,0,-,2.75,1.05,88,4,30
Anthony Santander,OF,299,7.45,2,36,102,92,2,0.266,-,-,145,-,-
James Wood,OF,32,7.42,2,28,85,92,13,0.278,-,-,175,-,-
Emmanuel Clase,RP,UD,7.38,1,0,0,0,0,-,2.85,1.02,72,5,34
Roman Anthony,OF,53,7.22,2,20,78,88,16,0.295,-,-,120,-,-
Steven Kwan,OF,151,7.09,2,8,58,95,13,0.324,-,-,65,-,-
Ozzie Albies,2B,131,7.07,2,22,82,88,10,0.288,-,-,105,-,-
Raisel Iglesias,RP,111,6.75,1,0,0,0,0,-,2.95,1.06,82,5,30
Trea Turner,SS,28,6.7,2,18,65,86,21,0.28,-,-,110,-,-
Vinnie Pasquantino,1B,80,6.51,2,24,90,82,2,0.29,-,-,85,-,-
Ryan Helsley,RP,127,6.51,1,0,0,0,0,-,2.78,0.97,85,4,26
Austin Riley,3B,62,6.46,2,34,98,88,1,0.271,-,-,162,-,-
Andres Munoz,RP,55,6.43,1,0,0,0,0,-,2.88,1.0,88,4,27
Ketel Marte,2B,27,6.31,2,26,79,90,4,0.28,-,-,99,-,-
Michael Harris II,OF,100,6.28,2,18,75,78,22,0.29,-,-,145,-,-
Francisco Lindor,SS,22,6.17,2,25,69,89,18,0.259,-,-,112,-,-
Josh Naylor,1B,56,6.12,2,26,92,78,3,0.284,-,-,95,-,-
CJ Abrams,SS,67,6.11,2,18,72,82,24,0.276,-,-,135,-,-
Manny Machado,3B,31,6.08,2,30,91,85,3,0.271,-,-,115,-,-
Pete Alonso,1B,25,6.02,3,36,94,87,2,0.257,-,-,143,-,-
George Springer,OF,UD,5.99,3,26,82,95,8,0.274,-,-,145,-,-
Tarik Skubal,SP,6,5.94,1,0,0,0,0,-,2.79,1.03,243,14,0
Nolan Arenado,3B,331,5.94,3,26,95,78,2,0.281,-,-,105,-,-
Nick Kurtz,1B,UD,5.92,3,32,92,88,1,0.273,-,-,145,-,-
Mason Miller,RP,44,5.9,1,0,0,0,0,-,2.92,1.07,85,4,26
Pete Crow-Armstrong,OF,30,5.84,3,18,72,80,29,0.263,-,-,135,-,-
Adolis Garcia,OF,225,5.82,3,32,98,87,12,0.26,-,-,195,-,-
Paul Skenes,SP,9,5.7,2,0,0,0,0,-,2.92,1.1,237,14,0
Marcus Semien,2B,200,5.66,3,24,82,95,8,0.265,-,-,105,-,-
Junior Caminero,3B,17,5.51,3,32,88,71,3,0.271,-,-,101,-,-
Teoscar Hernandez,OF,118,5.5,3,32,98,85,4,0.269,-,-,175,-,-
Mookie Betts,SS/LF/CF,46,5.46,3,22,79,84,5,0.274,-,-,60,-,-
Jazz Chisholm Jr.,2B/3B,22,5.45,3,22,75,78,21,0.27,-,-,155,-,-
Garrett Crochet,SP,12,5.41,2,0,0,0,0,-,3.02,1.15,239,14,0
Matt Olson,1B,37,5.41,3,33,93,90,2,0.26,-,-,165,-,-
Bryan Reynolds,OF,181,5.33,3,24,88,88,4,0.282,-,-,155,-,-
Cody Bellinger,LF/CF/RF,63,5.33,3,24,78,82,10,0.279,-,-,128,-,-
Zach Neto,SS,33,5.27,3,26,69,83,20,0.252,-,-,143,-,-
Luis Robert Jr.,OF,121,5.25,3,28,82,72,13,0.271,-,-,155,-,-
Maikel Garcia,2B/3B/SS,66,5.21,3,13,62,82,20,0.276,-,-,90,-,-
Wilyer Abreu,OF,225,5.19,3,20,78,85,13,0.287,-,-,175,-,-
Brandon Nimmo,OF,118,5.09,3,22,78,92,2,0.293,-,-,130,-,-
Randy Arozarena,OF,84,5.04,3,24,85,82,15,0.263,-,-,155,-,-
Riley Greene,OF,61,5.03,3,24,82,88,6,0.289,-,-,158,-,-
Brice Turang,2B,46,5,3,12,65,82,24,0.277,-,-,105,-,-
Pete Fairbanks,RP,UD,5,2,0,0,0,0,-,3.05,1.12,82,4,24
Seiya Suzuki,OF,86,4.98,3,22,82,82,7,0.287,-,-,140,-,-
Brent Rooker,OF,43,4.89,3,34,92,84,3,0.267,-,-,185,-,-
Kyle Schwarber,LF/OF/DH,20,4.85,3,42,98,95,1,0.237,-,-,185,-,-
Luis Arraez,1B,244,4.8,3,8,58,78,2,0.333,-,-,45,-,-
Bryson Stott,2B/SS,UD,4.8,3,15,72,82,16,0.284,-,-,115,-,-
Nico Hoerner,2B,92,4.54,3,8,62,78,21,0.29,-,-,85,-,-
Noelvi Marte,3B,UD,4.44,3,22,82,72,10,0.28,-,-,120,-,-
Sal Frelick,OF,230,4.43,3,10,58,82,13,0.301,-,-,75,-,-
Ha-Seong Kim,2B/SS,UD,4.41,3,18,72,78,17,0.268,-,-,105,-,-
Cal Raleigh,C,13,4.4,3,38,91,88,5,0.23,-,-,163,-,-
Christian Walker,1B,UD,4.39,3,28,88,82,6,0.263,-,-,145,-,-
Tommy Edman,2B/3B/LF,304,4.36,3,12,62,78,20,0.287,-,-,115,-,-
Alec Bohm,1B,246,4.33,3,20,92,82,2,0.289,-,-,115,-,-
Chris Sale,SP,40,4.16,2,0,0,0,0,-,3.19,1.1,206,12,0
Aroldis Chapman,RP,UD,4.09,2,0,0,0,0,-,3.25,1.32,88,3,22
Corey Seager,SS,87,3.94,3,25,75,72,2,0.276,-,-,83,-,-
Willy Adames,SS,113,3.93,4,28,86,84,5,0.259,-,-,158,-,-
David Bednar,RP,UD,3.93,2,0,0,0,0,-,3.15,1.19,78,4,24
Andres Gimenez,2B,297,3.88,4,16,72,78,13,0.284,-,-,115,-,-
Cristopher Sanchez,SP,28,3.76,2,0,0,0,0,-,3.15,1.2,191,14,0
Dylan Crews,OF,197,3.73,4,18,72,78,13,0.278,-,-,135,-,-
Nick Castellanos,OF,309,3.72,4,26,88,75,3,0.284,-,-,165,-,-
Cole Ragans,SP,50,3.72,2,0,0,0,0,-,3.31,1.2,211,12,0
Jeremy Pena,SS,92,3.67,4,18,82,78,8,0.279,-,-,115,-,-
Matt McLain,2B,228,3.61,4,20,72,75,13,0.273,-,-,145,-,-
Bo Bichette,SS,86,3.53,4,18,74,73,4,0.288,-,-,95,-,-
Dylan Cease,SP,69,3.42,2,0,0,0,0,-,3.54,1.18,209,12,0
Ian Happ,OF,151,3.36,4,26,88,88,5,0.257,-,-,175,-,-
Spencer Strider,SP,107,3.33,2,0,0,0,0,-,3.45,1.11,195,9,0
